,Side Lenght,Bandwidth,best epoch,prec1 max,prec5 at best epoch,prec1 at epoch 38
0,1000,0.5,40,92.61312,96.15256,92.51792
1,1000,1.0,42,92.51792,96.57258,92.50112
2,1000,1.5,42,92.48432,96.9254,92.400314
3,2000,0.5,42,92.46752,96.53898,92.45072
4,2000,1.0,42,92.46752,97.076614,92.400314
5,2000,1.5,42,92.43392,97.446236,92.400314
6,3000,0.5,42,92.46752,96.690186,92.45072
7,3000,1.0,42,92.46752,97.16062,92.400314
8,3000,1.5,42,92.41712,97.58064,92.400314
9,4000,0.5,38,92.46752,96.8246,92.46752
10,4000,1.0,42,92.46752,97.24462,92.400314
11,4000,1.5,38,92.400314,97.71506,92.400314
